reward,location,identity,salience,i_neuron
-0.027874564459930317,-0.06864111498257841,0.4554006968641116,0.22787456445993037,0
-0.13083623693379795,0.19703832752613243,0.1987804878048781,0.09285714285714287,1
-0.01672473867595819,0.08466898954703835,-0.07979094076655055,-0.04930313588850175,2
0.053484320557491305,0.1482578397212544,-0.11777003484320561,-0.2498257839721255,3
0.11742160278745647,-0.15766550522648085,-0.20418118466898957,0.004181184668989548,4
0.13466898954703838,-0.17752613240418122,0.057839721254355415,0.2203832752613241,5
0.05069686411149827,0.13693379790940768,0.14111498257839725,0.08902439024390245,6
0.062195121951219526,0.025958188153310108,0.08519163763066204,0.06445993031358886,7
0.26916376306620216,0.07351916376306622,-0.2182926829268293,-0.2123693379790941,8
-0.024564459930313594,-0.038850174216027884,0.383623693379791,-0.013414634146341465,9
-0.01637630662020906,0.21184668989547042,-0.2616724738675959,-0.2114982578397213,10
-0.013240418118466902,0.17630662020905927,-0.18432055749128926,-0.11515679442508713,11
0.10574912891986064,-0.01271777003484321,-0.24024390243902444,-0.2015679442508711,12
