reward,location,identity,salience,neuron_type
0.005678703791164863,0.0020133215616318424,0.0052797616095869625,0.015393989835892212,E
0.004154934577065943,0.01181651789041156,0.03649116599325836,0.05659725944612535,E
0.0011318456869978007,0.0026096860477581962,0.017388565926332776,0.007432255992297548,E
0.020862782933807014,0.006166710715104612,0.0002515446317363664,0.007175521615758473,E
0.00168212552060832,0.009491441237764523,0.036337275223091846,0.034758726856513995,E
0.0012776725775076048,0.00073194413254432,0.002494581141574034,0.011457552665905616,E
0.0009857849197050014,0.00020358002218976513,0.014500698861303654,0.04963816323694932,E
0.00015891337593390692,2.8081059462762772e-05,0.020078194381969013,0.0008015242841016684,E
0.003534633737752377,0.0002836833134817733,0.00016783072500048532,0.0021356979839326344,E
0.003966011160128066,0.037824930807661035,0.0001646589321533429,0.034049882653609885,E
0.00040032244285636334,0.00035311191206196846,0.004322295593216903,0.01905256902782122,I
0.003983003782283605,0.001803256416332327,0.00047019860460420043,0.022180069987052155,I
0.003781592315408108,0.0006042138681474373,0.011678994386681357,0.01350070177007332,I
0.001726841081494637,0.0020267779097271794,0.007399731474040557,0.0029558146386704583,I
